id,common_name,scientific_name,other_name,family,origin,type,dimension,cycle,attracts,propagation,watering,depth_water_requirement,volume_water_requirement,watering_period,plant_anatomy,sunlight,pruning_month,pruning_count,seeds,maintenance,care-guides,soil,growth_rate,drought_tolerant,salt_tolerant,thorny,invasive,tropical,indoor,care_level,pest_susceptibility,pest_susceptibility_api,flowers,flowering_season,flower_color,cones,fruits,edible_fruit,edible_fruit_taste_profile,fruit_nutritional_value,fruit_color,harvest_season,leaf,leaf_color,edible_leaf,cuisine,medicinal,poisonous_to_humans,poisonous_to_pets,description,other_images,dimensions.type,dimensions.min_value,dimensions.max_value,dimensions.unit,hardiness.min,hardiness.max,hardiness_location.full_url,hardiness_location.full_iframe,watering_general_benchmark.value,watering_general_benchmark.unit,depth_water_requirement.unit,depth_water_requirement.value,pruning_count.amount,pruning_count.interval,volume_water_requirement.unit,volume_water_requirement.value
1,European Silver Fir,['Abies alba'],['Common Silver Fir'],,"['Austria', 'Germany', 'Switzerland', 'France', 'Italy', 'Slovenia', 'Croatia', 'Bosnia and Herzegovina', 'Serbia', 'Montenegro', 'Albania', 'Bulgaria', 'Romania', 'Ukraine', 'Poland', 'Czech Republic', 'Slovakia', 'Hungary']",tree,Height:  60 feet,Perennial,[],"['Cutting', 'Grafting Propagation', 'Layering Propagation', 'Seed Propagation', 'Air Layering Propagation', 'Tissue Culture']",Frequent,[],[],,[],['full sun'],"['February', 'March', 'April']",[],FALSE,,http://perenual.com/api/species-care-guide-list?species_id=1&key=sk-OENd67d1d29b015ee9112,[],High,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Medium,[],Coming Soon,FALSE,,,TRUE,FALSE,FALSE,Coming Soon,Coming Soon,[],,TRUE,['green'],FALSE,FALSE,TRUE,FALSE,FALSE,"European Silver Fir (Abies alba) is an amazing coniferous species native to mountainous regions of central Europe and the Balkans. It is an evergreen tree with a narrow, pyramidal shape and long, soft needles. Its bark is scaly grey-brown and its branches are highly ornamental due to its conical-shaped silver-tinged needles. It is pruned for use as an ornamental evergreen hedging and screening plant, and is also popular for use as a Christmas tree. Young trees grow quickly and have strong, flexible branches which makes them perfect for use as windbreaks. The European Silver Fir is an impressive species, making it ideal for gardens and public spaces.",Upgrade Plan To Supreme For Access https://perenual.com/subscription-api-pricing. Im sorry,Height,60,60,feet,7,7,https://perenual.com/api/hardiness-map?species_id=1&size=og&key=sk-OENd67d1d29b015ee9112,<iframe frameborder=0 scrolling=yes seamless=seamless width=1000 height=550 style='margin:auto;' src='https://perenual.com/api/hardiness-map?species_id=1&size=og&key=sk-OENd67d1d29b015ee9112'></iframe>,,days,,,,,,
5,Fraser Fir,['Abies fraseri'],['Southern Fir'],Pinaceae,['Southeastern United States'],tree,Height:  35 feet,Perennial,[],"['Seed Propagation', 'Seed Propagation', 'Seed Propagation', 'Cutting', 'Grafting Propagation', 'Layering Propagation', 'Tissue Culture']",Frequent,[],[],,"[{'part': 'leaves', 'color': ['dark-green']}, {'part': 'cones', 'color': ['light-green']}, {'part': 'branches', 'color': ['silver']}]","['full sun', 'part shade', 'filtered shade']","['February', 'March', 'April', 'June', 'July', 'August']",[],FALSE,Moderate,http://perenual.com/api/species-care-guide-list?species_id=5&key=sk-OENd67d1d29b015ee9112,['Well-drained'],Moderate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Medium,"['Aphids', 'adelgids', '  Pest resistant', ' Disease resistant ']",Coming Soon,TRUE,,"No flowers, Brown",TRUE,FALSE,FALSE,Coming Soon,Coming Soon,[],,TRUE,['green'],FALSE,FALSE,FALSE,FALSE,FALSE,"The Fraser Fir (Abies fraseri) is an amazing tree species with many great qualities. It is a dense evergreen conifer native to the Appalachian mountains. Its pyramidal shape and glossy dark green needles, that curve upward, make it a beautiful and popular Christmas tree. Its needles are short, soft, flat and pleasant to the touch. It has been found to be highly resistant to pests, diseases, and environmental stress. Additionally, it has superior winter hardiness and a strong wood that produces very little sap. This incredible species is perfect for a variety of evergreen applications and is guaranteed to bring a unique and beautiful look to any landscape.",Upgrade Plan To Supreme For Access https://perenual.com/subscription-api-pricing. Im sorry,Height,35,35,feet,6,6,https://perenual.com/api/hardiness-map?species_id=5&size=og&key=sk-OENd67d1d29b015ee9112,<iframe frameborder=0 scrolling=yes seamless=seamless width=1000 height=550 style='margin:auto;' src='https://perenual.com/api/hardiness-map?species_id=5&size=og&key=sk-OENd67d1d29b015ee9112'></iframe>,,days,,,,,,
6,Golden Korean Fir,"[""Abies koreana 'Aurea'""]",[],Pinaceae,['North and South Korea'],tree,Height:  20 feet,Perennial,[],"['Cutting', 'Grafting Propagation', 'Layering Propagation', 'Seed Propagation', 'Air Layering Propagation']",Average,[],[],,"[{'part': 'trunk', 'color': ['brown']}, {'part': 'branches', 'color': ['brown']}, {'part': 'leaves', 'color': ['green', 'yellow-green', 'silver-yellow-green']}, {'part': 'twigs', 'color': ['silver-brown', 'white-silver']}, {'part': 'cones', 'color': ['violet-purple']}]","['Full sun', 'part shade']","['June', 'May']",[],FALSE,Moderate,http://perenual.com/api/species-care-guide-list?species_id=6&key=sk-OENd67d1d29b015ee9112,['Well-drained'],Low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Medium,"['Aphids', 'adelgids', ' Blight', 'needle cast', ' Caterpillar', 'cutworm', ' Root rot', ' Rust', '  Pest resistant', ' Disease resistant', ' Deer resistant', ' Drought resistant ']",Coming Soon,TRUE,,Non-flowering,TRUE,FALSE,FALSE,Coming Soon,Coming Soon,[],,TRUE,"['gold', 'yellow']",FALSE,FALSE,FALSE,FALSE,FALSE,"The Golden Korean Fir is truly awe inspiring. Its stunning golden-green foliage and soft pink cones make it a majestic wonder to behold. This evergreen tree grows quickly and is remarkably tough and resistant to brittleness. Its branches form a distinctive cone shape that gives it a modern, contemporary look. Its needles are soft and full of pleasant aroma. This amazing specimen requires minimal maintenance and is an ideal focal point for landscaping and garden design. Its unique foliage, easy upkeep and attitude of durability make it a stunning and reliable addition to any garden.",Upgrade Plan To Supreme For Access https://perenual.com/subscription-api-pricing. Im sorry,Height,20,20,feet,6,6,https://perenual.com/api/hardiness-map?species_id=6&size=og&key=sk-OENd67d1d29b015ee9112,<iframe frameborder=0 scrolling=yes seamless=seamless width=1000 height=550 style='margin:auto;' src='https://perenual.com/api/hardiness-map?species_id=6&size=og&key=sk-OENd67d1d29b015ee9112'></iframe>,,days,,,,,,
8,Blue Spanish Fir,"[""Abies pinsapo 'Glauca'""]",['Glaucous Spanish Fir'],Pinaceae,['Southern Spain'],tree,Height:  45 feet,Perennial,[],"['Cutting', 'Grafting Propagation', 'Layering Propagation', 'Seed Propagation']",Average,,[],,"[{'part': 'cones', 'color': ['green', 'light-green']}, {'part': 'leaves', 'color': ['dark-green']}, {'part': 'stems', 'color': ['brown']}, {'part': 'branches', 'color': ['brown']}, {'part': 'twigs', 'color': ['brown']}]","['Full sun', 'part shade']","['March', 'April', 'June', 'July', 'August', 'March', 'April', 'May', 'June', 'July', 'August']",,FALSE,Moderate,http://perenual.com/api/species-care-guide-list?species_id=8&key=sk-OENd67d1d29b015ee9112,[],Low,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Medium,[],Coming Soon,TRUE,,Non-flowering,TRUE,FALSE,FALSE,Coming Soon,Coming Soon,[],,TRUE,['silver'],FALSE,FALSE,FALSE,FALSE,FALSE,"The Blue Spanish Fir (Abies pinsapo 'Glauca') is an amazing plant that is native to the mountains of southern Spain. Its beautiful blue needle-like foliage and pyramidal shape set it apart from other coniferous trees. This tree is an extremely hardy species, and can survive temperatures as low as -20 Fahrenheit. It is also incredibly drought tolerant, but will thrive with regular watering in the summer. Its striking blue color makes it the perfect accent to any landscaping design, adding a pop of color to your garden. It is also surprisingly fast-growing, making it ideal for creating a privacy screen quickly. All in all, the Blue Spanish Fir is an amazing plant that can bring year-round beauty to any garden!",Upgrade Plan To Supreme For Access https://perenual.com/subscription-api-pricing. Im sorry,Height,45,45,feet,7,7,https://perenual.com/api/hardiness-map?species_id=8&size=og&key=sk-OENd67d1d29b015ee9112,<iframe frameborder=0 scrolling=yes seamless=seamless width=1000 height=550 style='margin:auto;' src='https://perenual.com/api/hardiness-map?species_id=8&size=og&key=sk-OENd67d1d29b015ee9112'></iframe>,,days,inches,2,2.0,yearly,,
9,Noble Fir,['Abies procera'],"['Red Fir', 'White Fir']",Pinaceae,"['United States', 'Canada', 'Mexico', 'Central America', 'South America']",tree,Height:  90 feet,Perennial,"['Squirrels', ' Birds']","['Seed Propagation', 'Cutting', 'Grafting Propagation', 'Layering Propagation', 'Air Layering Propagation']",Average,[],[],,"[{'part': 'trunk', 'color': ['brown', 'light-brown', 'white-brown']}, {'part': 'leaves', 'color': ['dark-green', 'green']}, {'part': 'branches', 'color': ['brown']}, {'part': 'branch', 'color': ['brown']}]",['full sun'],"['February', 'March', 'April']",[],FALSE,,http://perenual.com/api/species-care-guide-list?species_id=9&key=sk-OENd67d1d29b015ee9112,['Loamy Rocky'],Low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Medium,[],Coming Soon,TRUE,,,TRUE,FALSE,FALSE,Coming Soon,Coming Soon,[],,TRUE,['green'],FALSE,FALSE,TRUE,FALSE,FALSE,"The Noble Fir (Abies procera) is an amazing species in many ways. It is a tall and stately tree with a beautiful, conical shape; its symmetrical branches are heavily laden with needles that range from a deep, glossy green to a deep blue-green. It has a thick, scaly bark and splendid foliage that make it an ideal choice for any garden. Its wide, dense growth provides shelter to wildlife, while its strong branches provide it with excellent resistance to windstorms. The Noble Fir is a long-lasting species with impressive longevity, making it a great addition to any landscape. With its majestic form, lush color, and great strength, the Noble Fir is a remarkable species that will enhance any outdoor space.",Upgrade Plan To Supreme For Access https://perenual.com/subscription-api-pricing. Im sorry,Height,90,90,feet,8,8,https://perenual.com/api/hardiness-map?species_id=9&size=og&key=sk-OENd67d1d29b015ee9112,<iframe frameborder=0 scrolling=yes seamless=seamless width=1000 height=550 style='margin:auto;' src='https://perenual.com/api/hardiness-map?species_id=9&size=og&key=sk-OENd67d1d29b015ee9112'></iframe>,,days,,,,,,
10,Johin Japanese Maple,"[""Acer 'Johin'""]",['Red Full Moon Maple'],,['Japan'],tree,Height:  25 feet,Perennial,[],"['Air Layering Propagation', 'Grafting Propagation', 'Cutting', 'Division', 'Seed Propagation']",Average,[],,,"[{'part': 'leaves', 'color': ['bright-red']}, {'part': 'veins', 'color': ['yellow']}, {'part': 'stems', 'color': ['red']}]","['full sun', 'part shade']","['March', 'April']",[],FALSE,,http://perenual.com/api/species-care-guide-list?species_id=10&key=sk-OENd67d1d29b015ee9112,[],Low,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Medium,[],Coming Soon,FALSE,,,FALSE,FALSE,FALSE,Coming Soon,Coming Soon,[],,TRUE,['green'],FALSE,FALSE,FALSE,FALSE,FALSE,"The Johin Japanese Maple (Acer 'Johin') is a one-of-a-kind variety with incredible foliage that's sure to turn heads. It stands out from the crowd with its bright yellow-green colored leaves, framed by a deep green margin. Mature trees usually have a beautiful, gnarled trunk, making it an ideal choice for bonsai enthusiasts. In the spring, its delicate white flowers add an extra layer of beauty, before the dramatic autumn hues of red, yellow and orange set in. It's an easy-to-care-for, slow-growing tree that becomes even more stunning with age. Perfect for home gardens, patio or courtyard spaces, it's no wonder the Johin Japanese Maple is so popular.",Upgrade Plan To Supreme For Access https://perenual.com/subscription-api-pricing. Im sorry,Height,25,25,feet,6,6,https://perenual.com/api/hardiness-map?species_id=10&size=og&key=sk-OENd67d1d29b015ee9112,<iframe frameborder=0 scrolling=yes seamless=seamless width=1000 height=550 style='margin:auto;' src='https://perenual.com/api/hardiness-map?species_id=10&size=og&key=sk-OENd67d1d29b015ee9112'></iframe>,,days,,,,,gallon,1
11,Snakebark Maple,['Acer davidii'],"[""Father David's Maple"", ""Pere David's Maple""]",Sapindaceae,"['China', 'Myanmar']",tree,Height:  25 feet,Perennial,[],"['Grafting Propagation', 'Layering Propagation', 'Cutting', 'Seed Propagation']",Average,,[],,"[{'part': 'leaves', 'color': ['yellow-brown', 'green']}, {'part': 'branches', 'color': ['green-brown', 'light-green', 'green']}, {'part': 'trunk', 'color': ['green-brown', 'white-green']}, {'part': 'stem', 'color': ['green-colored']}, {'part': 'veins', 'color': ['light-green']}]","['Full sun', 'part shade']","['March', 'April']",[],FALSE,Low,http://perenual.com/api/species-care-guide-list?species_id=11&key=sk-OENd67d1d29b015ee9112,[],Low,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Medium,[],Coming Soon,TRUE,Spring,Yellow,FALSE,FALSE,FALSE,Coming Soon,Coming Soon,[],,TRUE,['green'],FALSE,FALSE,TRUE,FALSE,FALSE,"The Snakebark Maple (Acer davidii) is an amazing tree, beloved by gardeners. It features beautiful gills, which are handsomely striped with tiger-like markings. In the summer, its leaves turn to a bright golden hue and its bark remains smooth, with a distinctive mottled ash-gray coloration. Plant it in a sunny spot to take full advantage of its leaves, which are said to produce a calming effect. It is also low maintenance and very tolerant of the cold, surviving through temperatures as low as -25°F. With its stunning shape and amazing color, the Snakebark Maple is a wonderful addition to any landscape!",Upgrade Plan To Supreme For Access https://perenual.com/subscription-api-pricing. Im sorry,Height,25,25,feet,6,6,https://perenual.com/api/hardiness-map?species_id=11&size=og&key=sk-OENd67d1d29b015ee9112,<iframe frameborder=0 scrolling=yes seamless=seamless width=1000 height=550 style='margin:auto;' src='https://perenual.com/api/hardiness-map?species_id=11&size=og&key=sk-OENd67d1d29b015ee9112'></iframe>,,days,inches,2,,,,
17,Fullmoon Maple,['Acer japonicum'],[],Sapindaceae,"['Japan', 'Kuril Islands']",tree,Height:  20 feet,Perennial,[],"['Air Layering Propagation', 'Grafting Propagation', 'Cutting', 'Division', 'Seed Propagation']",Average,,[],,"[{'part': 'branches', 'color': ['green-yellow']}, {'part': 'twigs', 'color': ['green-yellow']}, {'part': 'leaves', 'color': ['green']}]","['Full sun', 'part shade']","['February', 'March', 'April', 'May']",[],FALSE,Low,http://perenual.com/api/species-care-guide-list?species_id=17&key=sk-OENd67d1d29b015ee9112,[],Low,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Medium,[],Coming Soon,TRUE,Spring,Purplish red,FALSE,FALSE,FALSE,Coming Soon,Coming Soon,[],,TRUE,"['green', 'purple']",FALSE,FALSE,FALSE,FALSE,FALSE,"The Fullmoon Maple is a spectacular deciduous shrub native to Japan, Korea and parts of China. It features an incredible round, bright yellow foliage in spring and summer that turns rich oranges and reds in the fall. Its unique shape gives it a wonderful presence in the garden, while its attractive bark is marked with orange and dark brown hues. For added attraction in the garden, the Fullmoon Maple is renowned for its stunning white flowers with yellow centers, which bloom from late spring until early summer. Its beautiful foliage, stunning flowers and interesting bark make the Fullmoon Maple an amazing garden addition for any landscape.",Upgrade Plan To Supreme For Access https://perenual.com/subscription-api-pricing. Im sorry,Height,20,20,feet,6,6,https://perenual.com/api/hardiness-map?species_id=17&size=og&key=sk-OENd67d1d29b015ee9112,<iframe frameborder=0 scrolling=yes seamless=seamless width=1000 height=550 style='margin:auto;' src='https://perenual.com/api/hardiness-map?species_id=17&size=og&key=sk-OENd67d1d29b015ee9112'></iframe>,,days,inch,1,,,,
18,Cutleaf Fullmoon Maple,"[""Acer japonicum 'Aconitifolium'""]",['fernleaf full moon maple'],Sapindaceae,"['S.E. Asia', 'Japan', 'China']",tree,Height:  20 feet,Perennial,[],"['Cutting', 'Grafting Propagation']",Average,,[],,"[{'part': 'leaves', 'color': ['green', 'orange-yellow-green']}, {'part': 'branches', 'color': ['brown']}, {'part': 'trunk', 'color': ['brown']}, {'part': 'twigs', 'color': ['colored']}]","['Full sun', 'part shade']","['March', 'April', 'June', 'July', 'August']",[],FALSE,Low,http://perenual.com/api/species-care-guide-list?species_id=18&key=sk-OENd67d1d29b015ee9112,"['Humus rich', ' Well-drained']",Moderate,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Medium,"['Aphids', 'adelgids', ' Canker', 'sap rot', ' Caterpillar', 'cutworm', ' Fungal leaf spot', ' Galls', ' Heart rot', ' Mites', ' Root rot', ' Scale insects', ' Wilt']",Coming Soon,TRUE,Spring,Purplish red,FALSE,TRUE,FALSE,Coming Soon,Coming Soon,[],Fall,TRUE,['green'],FALSE,FALSE,FALSE,FALSE,FALSE,"The Cutleaf Fullmoon Maple is one of nature's most beautiful trees. Its intricate, delicate leaves have deep lobes and unique lobing patterns- each one showing its own distinct character. Its light silvery-green foliage turns a golden yellow in fall. The Cutleaf Fullmoon Maple produces long, elegant branches with large, full flowers that shimmer in the moonlight. In spring, the foliage emerges in a brilliant array of soft pinks, whites, and yellows. This eye-catching display gives this tree its name- Cutleaf Fullmoon Maple. Combined with beautiful bark that takes on an attractive whitish hue, this tree is sure to be a stunning addition to any garden.",Upgrade Plan To Supreme For Access https://perenual.com/subscription-api-pricing. Im sorry,Height,20,20,feet,6,6,https://perenual.com/api/hardiness-map?species_id=18&size=og&key=sk-OENd67d1d29b015ee9112,<iframe frameborder=0 scrolling=yes seamless=seamless width=1000 height=550 style='margin:auto;' src='https://perenual.com/api/hardiness-map?species_id=18&size=og&key=sk-OENd67d1d29b015ee9112'></iframe>,,days,,,,,,
19,Attaryi Fullmoon Maple*,"[""Acer japonicum 'Attaryi'""]",[],,['Japan'],tree,Height:  30 feet,Perennial,[],"['Grafting Propagation', 'Cutting', 'Layering Propagation', 'Air Layering Propagation', 'Tissue Culture']",Average,,[],,"[{'part': 'trunk', 'color': ['brown']}, {'part': 'branches', 'color': ['brown']}, {'part': 'leaves', 'color': ['orange']}]","['full sun', 'part shade']",['February'],,FALSE,,http://perenual.com/api/species-care-guide-list?species_id=19&key=sk-OENd67d1d29b015ee9112,[],High,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,High,[],Coming Soon,FALSE,,,FALSE,FALSE,FALSE,Coming Soon,Coming Soon,[],,TRUE,['green'],FALSE,FALSE,FALSE,FALSE,FALSE,"Attaryi Fullmoon Maple is an amazing ornamental tree that provides breathtaking visual impact throughout the year. Its young foliage emerges a bright pink hue in spring, fades to a golden yellow in summer and transforms to a spectacular burnt orange in autumn. This spectacular show, combined with the graceful weeping branches and deep mahogany bark, makes it an ideal focal point in outdoor landscapes. Attaryi Fullmoon Maple is also known for its drought tolerance, making it an adaptable choice for gardeners of all levels. Best of all, its ability to thrive in just about any soil and pH makes it an excellent addition to any garden.",Upgrade Plan To Supreme For Access https://perenual.com/subscription-api-pricing. Im sorry,Height,30,30,feet,6,6,https://perenual.com/api/hardiness-map?species_id=19&size=og&key=sk-OENd67d1d29b015ee9112,<iframe frameborder=0 scrolling=yes seamless=seamless width=1000 height=550 style='margin:auto;' src='https://perenual.com/api/hardiness-map?species_id=19&size=og&key=sk-OENd67d1d29b015ee9112'></iframe>,,days,inches,2,1.0,yearly,,
